rank,value_usd,name,url
42,31727.50,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Charmander,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/charmander/544235
43,30783.01,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Vileplume-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/vileplume-holo/544380
44,29818.05,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Dark Arbok-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/dark-arbok-holo/544239
45,28638.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE PROMO Dark Persian,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-promo/dark-persian-pokemon-magazine/1839341
46,28188.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE RED/GREEN GIFT SET Master Ball-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-red-green-gift-set/master-ball-holo/1743380
47,27966.55,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Imakuni?'s Nasty Plot,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/imakuni-s-nasty-plot-series-iii/525444
48,27806.25,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Imakuni?'s Corner,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/imakuni-s-corner-series-iii/1929156
49,27454.28,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Clefable-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/clefable-holo/544378
50,23970.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE PROMO Picasso Touch,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-promo/picasso-touch-trainer/666081
51,22396.48,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Psyduck,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/psyduck/1909632
52,21768.50,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Extra Rule,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/extra-rule-20-damage-from-confusion-series-iii/525441
53,20619.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Venomoth-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/venomoth-holo/1985134
54,20429.75,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Muk-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/muk-holo/1861537
55,20405.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Graveler,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/graveler/1909637
56,20335.58,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Extra Rule,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/extra-rule-deck-exchange-series-iii/1825344
57,20250.00,Auction Prices Realized Tcg Cards 1999 POKEMON FOSSIL Hitmonlee-Holo,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-fossil/hitmonlee-holo/543983
58,18965.18,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Rainbow Energy-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/rainbow-energy-holo/544251
59,18353.68,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Squirtle,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/squirtle/2183723
60,16560.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Slowpoke,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/slowpoke/1939550
61,16500.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Weepinbell,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/weepinbell/2172653
62,16400.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Fossil Excavation,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/fossil-excavation-series-1/2470732
63,15725.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Slowbro,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/slowbro/2172683
64,15378.22,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Dark Charmeleon,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/dark-charmeleon/544236
65,14875.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Tentacruel,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/tentacruel/2172662
66,14640.90,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Cloyster,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/cloyster/2172663
67,14215.40,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Extra Rule,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/extra-rule-3vs3-dugtrio-team-battle-series-iii/1825342
68,13349.17,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE KUCHIBA CITY GYM DECK Lt. Surge's Pikachu,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-kuchiba-city-gym-deck/lt-surges-pikachu-lv-10/2465322
69,13197.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Extra Rule,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/extra-rule-3-deck-battle-series-iii/1825339
70,12892.25,Auction Prices Realized Tcg Cards 1996 POKEMON JAPANESE BASIC Bill,https://www.psacard.com/auctionprices/tcg-cards/1996-pokemon-japanese-basic/bill-trainer-no-rarity-symbol/2305629
71,12544.32,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE KUCHIBA CITY GYM DECK Lt. Surge's Pikachu,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-kuchiba-city-gym-deck/lt-surges-pikachu-lv-15/2465353
72,12180.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE RED/GREEN GIFT SET Baby Pikachu,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-red-green-gift-set/baby-pikachu/525417
73,11755.34,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Jigglypuff,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/jigglypuff/2172739
74,11530.75,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE NIVI CITY GYM DECK Brock-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-nivi-city-gym-deck/brock-holo/2340991
75,11421.00,Auction Prices Realized Tcg Cards 1996 POKEMON JAPANESE BASIC Gust Of Wind,https://www.psacard.com/auctionprices/tcg-cards/1996-pokemon-japanese-basic/gust-wind-trainer-no-rarity-symbol/2030990
76,11310.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE GYM Misty's Wrath,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-gym/mistys-wrath-trainer/2183920
77,11205.50,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE KUCHIBA CITY GYM DECK Lt. Surge-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-kuchiba-city-gym-deck/lt-surge-holo/2341008
78,10956.75,Auction Prices Realized Tcg Cards 1999 MERLIN POKEMON Charizard,https://www.psacard.com/auctionprices/tcg-cards/1999-merlin-pokemon/charizard/4689684
79,10672.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE KUCHIBA CITY GYM DECK Lt. Surge's Magneton-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-kuchiba-city-gym-deck/lt-surges-magneton-holo/2432740
80,10125.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Mankey,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/mankey/2172414
81,9900.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Master Ball,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/master-ball-series-ii/2499464
82,9892.40,Auction Prices Realized Tcg Cards 1996 POKEMON JAPANESE PROMO Jigglypuff,https://www.psacard.com/auctionprices/tcg-cards/1996-pokemon-japanese-promo/jigglypuff-non-glossy-singing/666068
83,9869.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Extra Rule,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/extra-rule-4-prize-battle-series-iii/525440
84,9686.82,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE NIVI CITY GYM DECK Brock's Rhydon-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-nivi-city-gym-deck/brocks-rhydon-holo/2467801
85,9339.20,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE TAMAMUSHI CITY GYM DECK Erika's Vileplume-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-tamamushi-city-gym-deck/erikas-vileplume-holo/2415806
86,9270.24,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Golduck,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/golduck/2172661
87,9212.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Ouch! At The Pokemon Mansion,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/ouch-pokemon-mansion-series-iii/2457133
88,9075.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING Guard Spec.,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/guard-spec-series-ii/2460625
89,9066.60,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Dark Wartortle,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/dark-wartortle/2077602
90,8760.47,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE PROMO Slowpoke,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-promo/slowpoke-play-mat/1918231
91,8400.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Mr. Fuji,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/mr-fuji/2173913
92,8395.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE MEIJI PROMO Mewtwo Close Up,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-meiji-promo/mewtwo-close-up-prism/726304
93,7695.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Gloom,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/gloom/2172648
94,7570.50,Auction Prices Realized Tcg Cards 1996 POKEMON JAPANESE BASIC Energy Removal,https://www.psacard.com/auctionprices/tcg-cards/1996-pokemon-japanese-basic/energy-removal-trainer-no-rarity-symbol/2305632
95,7252.80,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE FOSSIL Shellder,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-fossil/shellder/1939547
96,7175.00,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE PROMO Diglett,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-promo/diglett-asobikata/1918222
97,6851.70,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE VENDING The Puzzle Of Pokemon Tower?,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-vending/puzzle-pokemon-tower-series-iii/2457129
98,6683.04,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Challenge!,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/challenge/2183349
99,6410.88,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE HANADA CITY GYM DECK Misty's Tentacruel-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-hanada-city-gym-deck/mistys-tentacruel-holo/2422538
100,6281.44,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE JUNGLE Meowth,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-jungle/meowth/544381
